trial_1based	baseline	chi2	reference_chi2	absolute_difference
1	PHASE1A_FULL	11.20931506360272	11.209315063602716	3.5527136788005009e-15
1	STAT_SYS_NO_ROWWISE_VELOCITY	14.7342359505872	14.734235950587198	1.7763568394002505e-15
1	STAT_ONLY	16.233447508593244	16.233447508593247	3.5527136788005009e-15
1	STAT_SYS_DIAGONAL_ONLY	9.1554143706779811	9.1554143706779794	1.7763568394002505e-15
1	STAT_ONLY_DIAGONAL_ONLY	9.937211599987144	9.937211599987144	0
2	PHASE1A_FULL	11.209315063602714	11.209315063602716	1.7763568394002505e-15
2	STAT_SYS_NO_ROWWISE_VELOCITY	14.734235950587196	14.734235950587198	1.7763568394002505e-15
2	STAT_ONLY	16.233447508593244	16.233447508593247	3.5527136788005009e-15
2	STAT_SYS_DIAGONAL_ONLY	9.1554143706779794	9.1554143706779794	0
2	STAT_ONLY_DIAGONAL_ONLY	9.9372115999871458	9.937211599987144	1.7763568394002505e-15
3	PHASE1A_FULL	11.209315063602718	11.209315063602716	1.7763568394002505e-15
3	STAT_SYS_NO_ROWWISE_VELOCITY	14.7342359505872	14.734235950587198	1.7763568394002505e-15
3	STAT_ONLY	16.23344750859324	16.233447508593247	7.1054273576010019e-15
3	STAT_SYS_DIAGONAL_ONLY	9.1554143706779758	9.1554143706779794	3.5527136788005009e-15
3	STAT_ONLY_DIAGONAL_ONLY	9.9372115999871475	9.937211599987144	3.5527136788005009e-15
4	PHASE1A_FULL	11.209315063602718	11.209315063602716	1.7763568394002505e-15
4	STAT_SYS_NO_ROWWISE_VELOCITY	14.734235950587204	14.734235950587198	5.3290705182007514e-15
4	STAT_ONLY	16.23344750859324	16.233447508593247	7.1054273576010019e-15
4	STAT_SYS_DIAGONAL_ONLY	9.1554143706779811	9.1554143706779794	1.7763568394002505e-15
4	STAT_ONLY_DIAGONAL_ONLY	9.9372115999871475	9.937211599987144	3.5527136788005009e-15
5	PHASE1A_FULL	11.209315063602716	11.209315063602716	0
