contrast_index_1based	group_first_h0dn_row_1based	CID	within_group_contrast_index_1based	h0dn_row_1based	official_row_1based	IDSURVEY	weight
1	1	2009cz	1	1	342	56	0.70710678118654746
1	1	2009cz	1	2	343	5	-0.70710678118654746
2	5	2007qe	1	5	347	57	0.70710678118654746
2	5	2007qe	1	6	348	64	-0.70710678118654746
3	14	2007F	1	14	360	51	0.70710678118654746
3	14	2007F	1	15	361	64	-0.70710678118654746
4	16	2006ac	1	16	364	57	0.70710678118654746
4	16	2006ac	1	17	365	64	-0.70710678118654746
5	20	2009D	1	20	368	5	0.70710678118654746
5	20	2009D	1	21	369	51	-0.70710678118654746
6	20	2009D	2	20	368	5	0.40824829046386307
6	20	2009D	2	21	369	51	0.40824829046386307
6	20	2009D	2	22	370	65	-0.81649658092772615
7	28	2007cq	1	28	381	56	0.70710678118654746
7	28	2007cq	1	29	382	64	-0.70710678118654746
8	28	2007cq	2	28	381	56	0.40824829046386307
8	28	2007cq	2	29	382	64	0.40824829046386307
8	28	2007cq	2	31	384	57	-0.81649658092772615
9	40	2005M	1	40	402	57	0.70710678118654746
9	40	2005M	1	41	403	5	-0.70710678118654746
10	40	2005M	2	40	402	57	0.40824829046386307
10	40	2005M	2	41	403	5	0.40824829046386307
10	40	2005M	2	42	404	64	-0.81649658092772615
11	45	1999gp	1	45	410	62	0.70710678118654746
11	45	1999gp	1	46	411	57	-0.70710678118654746
12	50	2007co	1	50	417	57	0.70710678118654746
12	50	2007co	1	51	418	56	-0.70710678118654746
13	50	2007co	2	50	417	57	0.40824829046386307
13	50	2007co	2	51	418	56	0.40824829046386307
13	50	2007co	2	52	419	64	-0.81649658092772615
14	54	2005na	1	54	423	5	0.70710678118654746
14	54	2005na	1	55	424	64	-0.70710678118654746
15	54	2005na	2	54	423	5	0.40824829046386307
15	54	2005na	2	55	424	64	0.40824829046386307
15	54	2005na	2	56	425	57	-0.81649658092772615
16	61	2005eq	1	61	433	57	0.70710678118654746
16	61	2005eq	1	62	434	5	-0.70710678118654746
17	61	2005eq	2	61	433	57	0.40824829046386307
17	61	2005eq	2	62	434	5	0.40824829046386307
17	61	2005eq	2	63	435	64	-0.81649658092772615
18	64	2009ad	1	64	437	65	0.70710678118654746
18	64	2009ad	1	65	438	5	-0.70710678118654746
19	66	2008ar	1	66	440	57	0.70710678118654746
19	66	2008ar	1	67	441	5	-0.70710678118654746
20	66	2008ar	2	66	440	57	0.40824829046386307
20	66	2008ar	2	67	441	5	0.40824829046386307
20	66	2008ar	2	68	442	65	-0.81649658092772615
21	81	2004ef	1	81	469	57	0.70710678118654746
21	81	2004ef	1	82	470	5	-0.70710678118654746
22	81	2004ef	2	81	469	57	0.40824829046386307
22	81	2004ef	2	82	470	5	0.40824829046386307
22	81	2004ef	2	83	471	64	-0.81649658092772615
23	87	2008gg	1	87	487	51	0.70710678118654746
23	87	2008gg	1	88	488	5	-0.70710678118654746
24	90	2007bd	1	90	492	51	0.70710678118654746
24	90	2007bd	1	91	493	5	-0.70710678118654746
25	90	2007bd	2	90	492	51	0.40824829046386307
25	90	2007bd	2	91	493	5	0.40824829046386307
25	90	2007bd	2	92	494	64	-0.81649658092772615
26	97	2006en	1	97	504	57	0.70710678118654746
26	97	2006en	1	98	505	64	-0.70710678118654746
27	109	2004as	1	109	523	57	0.70710678118654746
27	109	2004as	1	110	524	63	-0.70710678118654746
28	113	2005iq	1	113	529	64	0.70710678118654746
28	113	2005iq	1	114	530	5	-0.70710678118654746
29	120	2006gr	1	120	537	57	0.70710678118654746
29	120	2006gr	1	121	538	64	-0.70710678118654746
30	135	2008hj	1	135	561	5	0.70710678118654746
30	135	2008hj	1	136	562	65	-0.70710678118654746
31	139	2001eh	1	139	570	57	0.70710678118654746
31	139	2001eh	1	140	571	63	-0.70710678118654746
32	144	2007jg	1	144	575	51	0.70710678118654746
32	144	2007jg	1	145	576	5	-0.70710678118654746
33	147	2007O	1	147	580	57	0.70710678118654746
33	147	2007O	1	148	581	64	-0.70710678118654746
34	155	2003fa	1	155	593	57	0.70710678118654746
34	155	2003fa	1	156	594	63	-0.70710678118654746
35	163	2007kk	1	163	605	51	0.70710678118654746
35	163	2007kk	1	164	606	65	-0.70710678118654746
36	172	2005hc	1	172	621	64	0.70710678118654746
36	172	2005hc	1	173	622	5	-0.70710678118654746
37	177	2008cf	1	177	630	5	0.70710678118654746
37	177	2008cf	1	178	631	65	-0.70710678118654746
38	204	2008bz	1	204	680	5	0.70710678118654746
38	204	2008bz	1	205	681	65	-0.70710678118654746
39	213	2008Y	1	213	699	51	0.70710678118654746
39	213	2008Y	1	214	700	65	-0.70710678118654746
