h0dn_row_1based	name	h0dn_m_b	h0dn_err_m_b	h0dn_zhel	h0dn_zcmb	catalog_only_classification	catalog_candidate_count	catalog_candidate_official_rows_1based	covariance_diagonal_used_for_mapping	final_dependency_classification	candidate_count	candidate_official_rows_1based	match_status	official_row_1based	official_CID	IDSURVEY	survey_label	official_m_b_corr	official_m_b_corr_err_DIAG	official_STAT_SYS_diagonal_sqrt	official_zHEL	official_zCMB	delta_m_b	delta_err_m_b	delta_err_m_b_role	delta_zhel	delta_zcmb
1	2009cz	15.605	0.18768000000000001	0.022270000000000002	0.02315	CATALOG_ONLY_AMBIGUOUS	2	342;343	YES	COVARIANCE_DIAGONAL_REQUIRED	1	342	UNIQUE_MATCH	342	2009cz	56	SOUSA	15.6052	0.25886900000000002	0.18767562441617186	0.022270000000000002	0.02315	0.00019999999999953388	4.3755838281533954e-06	AMBIGUITY_RESOLUTION_INPUT	0	0
2	2009cz	15.605	0.12275999999999999	0.022270000000000002	0.02315	CATALOG_ONLY_AMBIGUOUS	2	342;343	YES	COVARIANCE_DIAGONAL_REQUIRED	1	343	UNIQUE_MATCH	343	2009cz	5	CSP	15.6052	0.168487	0.12276233135616153	0.022270000000000002	0.02315	0.00019999999999953388	2.331356161539011e-06	AMBIGUITY_RESOLUTION_INPUT	0	0
5	2007qe	15.788	0.14543	0.023959999999999999	0.022800000000000001	CATALOG_ONLY_UNIQUE	1	347	NO	CATALOG_ONLY_UNIQUE	1	347	UNIQUE_MATCH	347	2007qe	57	LOSS2	15.787599999999999	0.20480000000000001	0.14542792029043117	0.023959999999999999	0.022800000000000001	0.00040000000000084412	2.0797095688362965e-06	POST_MAPPING_DIAGNOSTIC	0	0
6	2007qe	15.698	0.18375	0.023959999999999999	0.022800000000000001	CATALOG_ONLY_UNIQUE	1	348	NO	CATALOG_ONLY_UNIQUE	1	348	UNIQUE_MATCH	348	2007qe	64	CFA3K	15.697900000000001	0.25771699999999997	0.18375431967711672	0.023959999999999999	0.022800000000000001	9.9999999999766942e-05	4.3196771167264281e-06	POST_MAPPING_DIAGNOSTIC	0	0
14	2007F	15.689	0.14687	0.023619999999999999	0.024199999999999999	CATALOG_ONLY_UNIQUE	1	360	NO	CATALOG_ONLY_UNIQUE	1	360	UNIQUE_MATCH	360	2007F	51	LOSS1	15.6891	0.20652899999999999	0.14687130420882086	0.023619999999999999	0.024199999999999999	9.9999999999766942e-05	1.3042088208570224e-06	POST_MAPPING_DIAGNOSTIC	0	0
15	2007F	15.831	0.12926000000000001	0.023619999999999999	0.024199999999999999	CATALOG_ONLY_UNIQUE	1	361	NO	CATALOG_ONLY_UNIQUE	1	361	UNIQUE_MATCH	361	2007F	64	CFA3K	15.831	0.181558	0.12925606368755008	0.023619999999999999	0.024199999999999999	0	3.9363124499369739e-06	POST_MAPPING_DIAGNOSTIC	0	0
16	2006ac	15.734	0.13764999999999999	0.023089999999999999	0.023949999999999999	CATALOG_ONLY_UNIQUE	1	364	NO	CATALOG_ONLY_UNIQUE	1	364	UNIQUE_MATCH	364	2006ac	57	LOSS2	15.7341	0.18215700000000001	0.13765413179414557	0.023089999999999999	0.023949999999999999	9.9999999999766942e-05	4.1317941455731866e-06	POST_MAPPING_DIAGNOSTIC	0	0
17	2006ac	15.699999999999999	0.14749999999999999	0.023089999999999999	0.023949999999999999	CATALOG_ONLY_UNIQUE	1	365	NO	CATALOG_ONLY_UNIQUE	1	365	UNIQUE_MATCH	365	2006ac	64	CFA3K	15.699999999999999	0.196215	0.14749911864143458	0.023089999999999999	0.023949999999999999	0	8.813585654077194e-07	POST_MAPPING_DIAGNOSTIC	0	0
20	2009D	15.755000000000001	0.14863999999999999	0.025100000000000001	0.024760000000000001	CATALOG_ONLY_UNIQUE	1	368	NO	CATALOG_ONLY_UNIQUE	1	368	UNIQUE_MATCH	368	2009D	5	CSP	15.755000000000001	0.159749	0.14863788211623577	0.025100000000000001	0.024760000000000001	0	2.1178837642243931e-06	POST_MAPPING_DIAGNOSTIC	0	0
21	2009D	15.821999999999999	0.11575000000000001	0.025100000000000001	0.024760000000000001	CATALOG_ONLY_UNIQUE	1	369	NO	CATALOG_ONLY_UNIQUE	1	369	UNIQUE_MATCH	369	2009D	51	LOSS1	15.8216	0.20820900000000001	0.11574856370599161	0.025100000000000001	0.024760000000000001	0.00039999999999906777	1.4362940083945119e-06	POST_MAPPING_DIAGNOSTIC	0	0
