h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	catalog_only_classification	delta_m_b	delta_zhel	delta_zcmb	covariance_diagonal_used_for_mapping	delta_err_m_b	covariance_assist_pass	final_candidate	final_dependency_classification
1	2009cz	342	2009cz	56	CATALOG_ONLY_AMBIGUOUS	0.00019999999999953388	0	0	YES	4.3755838281533954e-06	YES	YES	COVARIANCE_DIAGONAL_REQUIRED
1	2009cz	343	2009cz	5	CATALOG_ONLY_AMBIGUOUS	0.00019999999999953388	0	0	YES	0.06491766864383848	NO	NO	COVARIANCE_DIAGONAL_REQUIRED
2	2009cz	342	2009cz	56	CATALOG_ONLY_AMBIGUOUS	0.00019999999999953388	0	0	YES	0.064915624416171866	NO	NO	COVARIANCE_DIAGONAL_REQUIRED
2	2009cz	343	2009cz	5	CATALOG_ONLY_AMBIGUOUS	0.00019999999999953388	0	0	YES	2.331356161539011e-06	YES	YES	COVARIANCE_DIAGONAL_REQUIRED
3	ASASSN-15nr	344	ASASSN-15nr	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.3600466170246044e-06		YES	CATALOG_ONLY_UNIQUE
4	2004bk	345	2004bk	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	5.7346224119347866e-07		YES	CATALOG_ONLY_UNIQUE
5	2007qe	347	2007qe	57	CATALOG_ONLY_UNIQUE	0.00040000000000084412	0	0	NO	2.0797095688362965e-06		YES	CATALOG_ONLY_UNIQUE
6	2007qe	348	2007qe	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.3196771167264281e-06		YES	CATALOG_ONLY_UNIQUE
7	ATLAS17bas	349	ATLAS17bas	150	CATALOG_ONLY_UNIQUE	0.00050000000000061107	0	0	NO	1.1718346156763815e-06		YES	CATALOG_ONLY_UNIQUE
8	ASASSN-15tz	350	ASASSN-15tz	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.5995376058972628e-06		YES	CATALOG_ONLY_UNIQUE
9	2010ao	351	2010ao	51	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.7198314370722194e-07		YES	CATALOG_ONLY_UNIQUE
10	2006sr	352	2006sr	64	CATALOG_ONLY_UNIQUE	0.0001000000000015433	0	0	NO	2.1075760446853664e-06		YES	CATALOG_ONLY_UNIQUE
11	2000ca	355	2000ca	50	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.5768413957349967e-06		YES	CATALOG_ONLY_UNIQUE
12	PS1-14xw	357	PS1-14xw	56	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.7953477337038244e-06		YES	CATALOG_ONLY_UNIQUE
13	2000bh	359	2000bh	50	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.3986364117156711e-07		YES	CATALOG_ONLY_UNIQUE
14	2007F	360	2007F	51	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.3042088208570224e-06		YES	CATALOG_ONLY_UNIQUE
15	2007F	361	2007F	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.9363124499369739e-06		YES	CATALOG_ONLY_UNIQUE
16	2006ac	364	2006ac	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.1317941455731866e-06		YES	CATALOG_ONLY_UNIQUE
17	2006ac	365	2006ac	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	8.813585654077194e-07		YES	CATALOG_ONLY_UNIQUE
18	ASASSN-15sf	366	ASASSN-15sf	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.1139151885618546e-06		YES	CATALOG_ONLY_UNIQUE
