name	h0dn_row_count	h0dn_rows_1based	official_rows_1based	IDSURVEY_codes	survey_labels	distinct_survey_count	survey_multiplicity_class
2009cz	2	1;2	342;343	56;5	SOUSA;CSP	2	MULTI_SURVEY_ONLY
2007qe	2	5;6	347;348	57;64	LOSS2;CFA3K	2	MULTI_SURVEY_ONLY
2007F	2	14;15	360;361	51;64	LOSS1;CFA3K	2	MULTI_SURVEY_ONLY
2006ac	2	16;17	364;365	57;64	LOSS2;CFA3K	2	MULTI_SURVEY_ONLY
2009D	3	20;21;22	368;369;370	5;51;65	CSP;LOSS1;CFA4p2	3	MULTI_SURVEY_ONLY
2007cq	3	28;29;31	381;382;384	56;64;57	SOUSA;CFA3K;LOSS2	3	MULTI_SURVEY_ONLY
2005M	3	40;41;42	402;403;404	57;5;64	LOSS2;CSP;CFA3K	3	MULTI_SURVEY_ONLY
1999gp	2	45;46	410;411	62;57	CFA2;LOSS2	2	MULTI_SURVEY_ONLY
2007co	3	50;51;52	417;418;419	57;56;64	LOSS2;SOUSA;CFA3K	3	MULTI_SURVEY_ONLY
2005na	3	54;55;56	423;424;425	5;64;57	CSP;CFA3K;LOSS2	3	MULTI_SURVEY_ONLY
2005eq	3	61;62;63	433;434;435	57;5;64	LOSS2;CSP;CFA3K	3	MULTI_SURVEY_ONLY
2009ad	2	64;65	437;438	65;5	CFA4p2;CSP	2	MULTI_SURVEY_ONLY
2008ar	3	66;67;68	440;441;442	57;5;65	LOSS2;CSP;CFA4p2	3	MULTI_SURVEY_ONLY
2004ef	3	81;82;83	469;470;471	57;5;64	LOSS2;CSP;CFA3K	3	MULTI_SURVEY_ONLY
2008gg	2	87;88	487;488	51;5	LOSS1;CSP	2	MULTI_SURVEY_ONLY
2007bd	3	90;91;92	492;493;494	51;5;64	LOSS1;CSP;CFA3K	3	MULTI_SURVEY_ONLY
2006en	2	97;98	504;505	57;64	LOSS2;CFA3K	2	MULTI_SURVEY_ONLY
2004as	2	109;110	523;524	57;63	LOSS2;CFA3S	2	MULTI_SURVEY_ONLY
2005iq	2	113;114	529;530	64;5	CFA3K;CSP	2	MULTI_SURVEY_ONLY
2006gr	2	120;121	537;538	57;64	LOSS2;CFA3K	2	MULTI_SURVEY_ONLY
2008hj	2	135;136	561;562	5;65	CSP;CFA4p2	2	MULTI_SURVEY_ONLY
2001eh	2	139;140	570;571	57;63	LOSS2;CFA3S	2	MULTI_SURVEY_ONLY
2007jg	2	144;145	575;576	51;5	LOSS1;CSP	2	MULTI_SURVEY_ONLY
2007O	2	147;148	580;581	57;64	LOSS2;CFA3K	2	MULTI_SURVEY_ONLY
2003fa	2	155;156	593;594	57;63	LOSS2;CFA3S	2	MULTI_SURVEY_ONLY
2007kk	2	163;164	605;606	51;65	LOSS1;CFA4p2	2	MULTI_SURVEY_ONLY
2005hc	2	172;173	621;622	64;5	CFA3K;CSP	2	MULTI_SURVEY_ONLY
2008cf	2	177;178	630;631	5;65	CSP;CFA4p2	2	MULTI_SURVEY_ONLY
2008bz	2	204;205	680;681	5;65	CSP;CFA4p2	2	MULTI_SURVEY_ONLY
2008Y	2	213;214	699;700	51;65	LOSS1;CFA4p2	2	MULTI_SURVEY_ONLY
