SOURCE	MATERIALIZED_PATH	EXPECTED_BYTES	EXPECTED_SHA256	OBSERVED_BYTES	OBSERVED_SHA256	STATUS
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.1.txt	4756752	94533bf16710e820913de7c65eb361d2aef6899611e2409b799bf0c99b62561e			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.2.txt	4560864	d8285872ba14d173e40600e28d62ee796a6a3cd5ebe41c9f454c5c89b2f275cb			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.3.txt	4748832	40931a2e00207b4b8064cfafdd1b8a06bbbd7e45625db6fc41b5a5c5e06c6116			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.4.txt	4769952	fd4f6302d1ceec65928479c81f7b69bd6f69cd84bcdc54b0e430b89f0ce6b6e1			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.5.txt	4520736	44021f5040a76c2ff5e1d0b1b28651c8f6c1879b532a6a1717343ad97b9ea9f2			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.6.txt	4772064	52836e0cb328a5d7f385c12a811217839342a78ab2bb818af06c61b7886ce174			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.input.yaml	5171	694d13225ef1763c0c6688a5be826275ca11fa0792e4bfc1c29bf5fb48eb9cde			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS.updated.yaml	6978	e1dd8e7e0fc67bf177856f67452cc7f5a901b99ff796ad49303d8873bbf2a060			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_No_OLE/CLASS_mean.txt	674	058536803e90b37fd65d6f59a959e470722fa9d24e08835f0817c13583dabb6d			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
ORIGINAL	LCDM/S1920lite_MPP_ACTDR6lite_actdr6lens_No_OLE/CLASS.1.txt	1762254	c8ba6c9ede115a3f249e0a2a38eb1bb67726176540bfea025860bb3bc3bebf5c			NOT_RUN_OFFICIAL_ARCHIVE_FETCH_UNAVAILABLE
