NUMBER_ID	QUANTITY	VALUE	UNIT	SCOPE_OR_LIMITATION
N001	shared-host weighted mean distance-modulus offset	0.04166	mag	diagonal diagnostic; joint covariance unavailable; z=1.41 and two-sided p≈0.16 are derived diagnostics
N002	shared-host diagonal goodness-of-fit PTE	0.798	dimensionless	goodness of fit around the weighted mean; not a mean-versus-zero test or final-H0 significance
N003	SuperCal-to-Fragilistic combined delta w	0.057	dimensionless	not transferred to full H0
N004	non-additive interaction difference	0.021	dimensionless	descriptive algebra, not causal fraction
N005	corrected-vector redshift slope	-0.129333	mag per redshift	formal significance not assigned
N006	bias-removed proxy redshift slope	+0.003689	mag per redshift	partial-removal proxy
N007	explicit bias-term redshift slope	-0.133022	mag per redshift	algebraic carrier, not validity test
N008	BAO-only Omega_m	0.297462	dimensionless	flat LambdaCDM Gaussian fit
N009	BAO-only H0 r_d	10153.98	km s^-1	BAO does not determine H0 alone
N010	BAO-only fit PTE	0.506	dimensionless	model-conditional fit diagnostic
N011	approximate BBN-calibrated H0	68.508	km s^-1 Mpc^-1	conditional fitting-relation calculation, not a full Boltzmann-code likelihood
N012	approximate BBN sound horizon	148.223	Mpc	fitting-formula output
N013	sound horizon required by the selected local H0 estimate	138.17	Mpc	conditional budget
N014	fractional sound-horizon reduction	6.7839	percent	not evidence for a specific mechanism
N015	projected-Gaussian profile mode H0	67.5247	km s^-1 Mpc^-1	low-dimensional calculation based on rounded summaries
N016	projected posterior-product mean H0	67.5136	km s^-1 Mpc^-1	not full Planck joint posterior
N017	common isotropic response delta Omega_m	+0.003309	dimensionless	sensitivity calculation, not a measurement correction
N018	common isotropic response delta q	-0.664576	Mpc	sensitivity calculation, not causal attribution
N019	common isotropic posterior-predictive p	0.114	dimensionless	large influence does not imply statistical inconsistency
N020	orthogonal residual about the common direction	0.213570/2; p=0.898719	chi2/dof	CMB cross-covariance unavailable
N021	minimum fraction captured by the common direction	97.24	percent	geometry of posterior summaries only
N022	maximum orthogonal residual	0.445	sigma	does not identify a shared cause
N023	angle between acoustic-scale secant and common direction	0.1986	degree	base-LambdaCDM geometry
N024	predicted-versus-observed slope difference	-0.7484	percent	not an eigenmode of the original likelihoods
N025	post hoc ACT-versus-Planck+SPT bootstrap equivalent	2.054	sigma	post hoc local contrast
N026	omnibus amplitude-difference bootstrap equivalent	1.594	sigma	does not establish global hierarchy
N027	maximum omega_c robustness-center response	0.115897	baseline standard deviations	correlated variants of the same ACT dataset
N028	maximum tangent robustness-center response	0.114023	baseline standard deviations	not independent significance
N029	maximum discrepancy in conditional distance	1.42e-13	dimensionless	invariance within the specified metric and partition
N030	maximum discrepancy in fixed block totals	1.67e-15	fraction	invariance of fixed block totals only
N031	basis-sensitive directed edges	14/14	count	individual shares depend on coordinate choice
N032	maximum top-share range under rotation	0.4654	fraction	not evidence of unique physical importance
N033	maximum pooling block-share difference	0.2900	fraction	sensitive to the pooling convention
N034	maximum pooling order-sensitivity difference	0.3801	fraction	sensitive to the pooling convention
N035	agreement under two pooling conventions	4/7	edges	does not invalidate the geometric comparison
N036	Megamaser result excluding NGC 4258	73.6 (+3.1/-3.0)	km s^-1 Mpc^-1	same Megamaser Cosmology Project likelihood family
N037	Megamaser all-galaxy medians across velocity-field prescriptions	71.8–76.9	km s^-1 Mpc^-1	not a Gaussian systematic
N038	Local Distance Network path O1	73.110	km s^-1 Mpc^-1	separated data membership only
N039	Local Distance Network path O2	73.451	km s^-1 Mpc^-1	full systematics may overlap
N040	descriptive O1-O2 difference	0.1704	display sigma	does not include all shared systematic assumptions
N041	TDCOSMO public HDF5 files audited	28	files	structural inspection of public files
N042	rows per TDCOSMO HDF5 export	500,000	rows per file	does not imply effective sample size
N043	rounded matches to transcribed Table 6 values	12/12	rows	manual table transcription; separately written project-internal implementation also matched all 12 rows at published precision
N044	no-auxiliary SLACS versus SL2S H0 median shifts	3.05 vs 0.43	km s^-1 Mpc^-1	descriptive comparison, not a prespecified confirmatory test
N045	Pantheon+ SLACS versus SL2S H0 median shifts	2.49 vs 0.47	km s^-1 Mpc^-1	non-additive interaction possible
N046	maximum arithmetic residual after bookkeeping correction	2.76e-10	native parameter units	bookkeeping correction only; scientific values unchanged
