HISTORICAL_FILE	HISTORICAL_SHA256	CURRENT_FILE	CURRENT_SHA256	CHANGE_CLASSIFICATION	SCIENTIFIC_CODE_CHANGE
CANONICAL_STATE_THROUGH_HTS62.md	7bef011fa0ae6cfbd3859f86a398ab548c3dea3d78da5cb6f686cbbcba89d71c	CANONICAL_STATE_THROUGH_HTS62.md	42934c6397a32acf9c323afa546cfbebf65232a01ace2c237c155883086b8cc6	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS62_CANONICALIZATION_AUDIT.md	3350cf4d1423725471485783fd3fbdaed97270febd34e5f1614c823766e78e05	HTS62_CANONICALIZATION_AUDIT.md	3350cf4d1423725471485783fd3fbdaed97270febd34e5f1614c823766e78e05	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS63_EXECUTION_CONTRACT.md	82c06d26aed9872b8ee0ca4da4e9c3d9fdf36268836b81128a2b9e29dd05b9fe	HTS63_EXECUTION_CONTRACT.md	82c06d26aed9872b8ee0ca4da4e9c3d9fdf36268836b81128a2b9e29dd05b9fe	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS63_PREFLIGHT_RESULT.md	cebe05d74756c08ce68f2e692d900edd31cae9298acaaf1358df3101bfdad472	HTS63_PREFLIGHT_RESULT.md	cebe05d74756c08ce68f2e692d900edd31cae9298acaaf1358df3101bfdad472	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS63_PREFLIGHT_TEST_AUDIT.md	9b4250e240f39105d6153ca52f7db6044851b0674d1984979e11fa82739a8586	HTS63_PREFLIGHT_TEST_AUDIT.md	9b4250e240f39105d6153ca52f7db6044851b0674d1984979e11fa82739a8586	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS63_SELECTION_AUDIT.md	ad8f6c0e409bdc1cf8501e8eeb871c0285c9fc6fba0e1c96b6e8d70660594129	HTS63_SELECTION_AUDIT.md	ad8f6c0e409bdc1cf8501e8eeb871c0285c9fc6fba0e1c96b6e8d70660594129	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS63_SOURCE_ADEQUACY_AUDIT.md	414bee3debcd640671cb6d223c6d983c56d129d920aee24f5971cfeb8d17e31e	HTS63_SOURCE_ADEQUACY_AUDIT.md	414bee3debcd640671cb6d223c6d983c56d129d920aee24f5971cfeb8d17e31e	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
README_RUN.md	0aac90725f2b30cd682deccbd8d5dff55056c5f2d8cab2ceb7ebdec649852a36	README_RUN.md	96ed89ee53a5d3873d041cb6c6af7f7e327a8ebca101d5f556a5cf0b75363566	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
audit_hts63.py	79bd58535ed70795a752d78a5d21a5e9d28eb82ce9f0bfc211134430005d4054	audit_hts63.py	79bd58535ed70795a752d78a5d21a5e9d28eb82ce9f0bfc211134430005d4054	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
hts63_common.py	98c49b368e9409e1072b593d1e0988e11928a9fcfea02d9bd8e67110333ef25a	hts63_common.py	33e6766209e80578fedd48f3e4d424ce30de701ca3f04ab7d4b2730be4204232	NON_SCIENTIFIC_INPUT_MATERIALIZATION_EDIT	NO
hts63_metric.py	c65253aba3e3306209b87c0955cf0e5cd828c41646dc9a315f2a5be79c79f788	hts63_metric.py	c65253aba3e3306209b87c0955cf0e5cd828c41646dc9a315f2a5be79c79f788	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts63.py	45fc21a0827fcafa1ec080f0f924fa208c4c892f5af98c64de21b9c6c2224d20	run_hts63.py	45fc21a0827fcafa1ec080f0f924fa208c4c892f5af98c64de21b9c6c2224d20	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts63.sh	b7bf1bed3bae85e4c0b92d580a74d48f6b980a4c669fca6710bc3ddec35d712e	run_hts63.sh	02f852b7f6629eb9ae07a6d578afee7efe83d5f4fecb9f000b20142e552d4f88	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
selftest_hts63.py	d7e94fe83eb6262e6be9d730a7fab7e1e3b2b961618561bac59a8562e9b531f9	selftest_hts63.py	d7e94fe83eb6262e6be9d730a7fab7e1e3b2b961618561bac59a8562e9b531f9	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
