release_model_id	dataset_attribute	h0_q16	h0_median	h0_q84	h0_minus	h0_plus	om_median	rd_median	rd_minus	rd_plus	lambda_mst_median	lambda_mst_minus	lambda_mst_plus	lambda_mst_sigma_median	corr_h0_lambda_mst	corr_h0_om
LambdaCDM1a	TDCOSMO + Pantheon+	68.30425450102933	71.63720749510438	75.5313780781816	3.3329529940750433	3.8941705830772264	0.3318195519457396				0.9690314582455738	0.05077630833279645	0.05636981073738301	0.034701724299837935	0.7807631531526094	-0.09947904428912914
LambdaCDM1b	TDCOSMO + Pantheon+ + SLACS	70.78903162006037	74.12682010042991	77.71630441187719	3.3377884803695395	3.589484311447279	0.33563425128264057				1.031935946026701	0.055596930274341094	0.05418446777828456	0.12868427692576984	0.5025562303207678	-0.05973209737485959
LambdaCDM1c	TDCOSMO + Pantheon+ + SL2S	68.6939866862687	72.105835727915	75.71279899123545	3.411849041646292	3.606963263320452	0.33265331988613467				0.9786754889492507	0.05152283592809426	0.054200052847717006	0.03853194727266508	0.7610425673406988	-0.09053523124831452
LambdaCDM1d	TDCOSMO + Pantheon+ + SLACS + SL2S	70.5669583833899	74.27098479315103	77.33897059406688	3.704026409761127	3.0679858009158494	0.33465851324795726				1.0252803906404322	0.04499848054799993	0.04390995726393476	0.12665924709048507	0.34582317784033495	-0.05650064038331412
LambdaCDM2a	TDCOSMO + DES-SN5YR	67.64943008779835	71.22148515241577	74.89397932651174	3.572055064617416	3.6724941740959736	0.3527564575928407				0.9640179283657937	0.053323773192618606	0.05484389023114611	0.03824634888375686	0.7714131989352715	-0.10241452891407124
LambdaCDM2b	TDCOSMO + DES-SN5YR + SLACS	70.20245735838081	73.76003955116394	76.94194380094804	3.55758219278313	3.181904249784097	0.35238506620868826				1.0174219988586075	0.046846179770368646	0.052511344432480955	0.12609845039999396	0.417903941821445	-0.0339156044103587
LambdaCDM2c	TDCOSMO + DES-SN5YR + SL2S	68.23058066208114	71.73436033506792	75.33300343059176	3.5037796729867807	3.5986430955238404	0.3541162916213245				0.9730089824531144	0.050264199610505766	0.05291425623503698	0.03509556828301492	0.7729133858207997	-0.0882206424389549
LambdaCDM2d	TDCOSMO + DES-SN5YR + SLACS + SL2S	70.89896033706651	73.92067130343608	77.2970415392265	3.021710966369568	3.376370235790418	0.3532620637364542				1.0260586310396014	0.043714181177101685	0.04639644006370669	0.12600380909924438	0.32668167929365305	-0.04814984856841636
LambdaCDM3a	TDCOSMO + DESI BAO	68.82967480710523	72.4005615593667	76.2689903233057	3.5708867522614582	3.868428763939008	0.2967467174804873	140.30832511824892	7.102374694647409	7.250913215189684	0.977785996991507	0.055564963271083956	0.05762676355870533	0.04275604632772964	0.7671826072912433	-0.06224458236301559
LambdaCDM3b	TDCOSMO + DESI BAO + SLACS + SL2S	71.41643086562259	74.83795262262764	78.33329657888932	3.4215217570050527	3.495343956261678	0.29829791157194663	135.56529829524996	6.141841662213693	6.656781153353393	1.0347334424663723	0.04191917263488831	0.05010533556732266	0.12520533373856294	0.4175762421925957	-0.09256361666635392
ULambdaCDM1	TDCOSMO	69.30625965684794	73.73600566934958	78.44622625286468	4.429746012501639	4.710220583515095	0.23224384982118004				0.9962254199062999	0.06439709692313744	0.06933906776111942	0.04456513237604398	0.8233204959585764	-0.5920738342363242
ULambdaCDM2	TDCOSMO + SLACS	72.17973679017769	76.7873553154126	80.66073789561158	4.607618525234912	3.873382580198978	0.19000584182581237				1.0589791806102085	0.05970019226294476	0.06128967242539418	0.1312210267721436	0.5760788429574877	-0.6081136912481356
ULambdaCDM3	TDCOSMO + SL2S	69.67993581302176	74.16257791481411	78.80641070366444	4.482642101792351	4.643832788850332	0.2292385310050313				1.0033153753956965	0.06092234758920623	0.06689664660608852	0.03959077828792382	0.831200087144524	-0.6102655835491181
ULambdaCDM4	TDCOSMO + SLACS + SL2S	73.06471672697174	77.76862477642288	81.41925198989235	4.703908049451144	3.6506272134694626	0.1717417026342876				1.0638776703588997	0.05768807308450885	0.06334359384864219	0.1325851973614887	0.6251215884283114	-0.6649623589456471
