auxiliary_cosmology_context	added_external_lens_layer	base_release_model_id	comparison_release_model_id	delta_h0_median	delta_lambda_mst_median	delta_lambda_mst_sigma_median	base_h0_68_halfwidth	comparison_h0_68_halfwidth	halfwidth_ratio_comparison_to_base	descriptive_shift_in_base_halfwidths	significance_interpretation_permitted
NO_AUXILIARY_COSMOLOGY	SLACS	ULambdaCDM1	ULambdaCDM2	3.0513496460630165	0.06275376070390859	0.08665589439609961	4.569983298008367	4.240500552716945	0.9279028556986164	0.6676938288577154	False
NO_AUXILIARY_COSMOLOGY	SL2S	ULambdaCDM1	ULambdaCDM3	0.4265722454645271	0.0070899554893966155	-0.004974354088120164	4.569983298008367	4.563237445321342	0.9985238780435006	0.0933421891608292	False
NO_AUXILIARY_COSMOLOGY	SLACS_PLUS_SL2S	ULambdaCDM1	ULambdaCDM4	4.032619107073302	0.06765225045259982	0.08802006498544471	4.569983298008367	4.177267631460303	0.9140662796909538	0.8824144081294011	False
PANTHEON_PLUS	SLACS	LambdaCDM1a	LambdaCDM1b	2.489612605325533	0.06290448778112723	0.0939825526259319	3.613561788576135	3.4636363959084093	0.9585103558650366	0.6889636184432104	False
PANTHEON_PLUS	SL2S	LambdaCDM1a	LambdaCDM1c	0.46862823281061594	0.00964403070367692	0.0038302229728271464	3.613561788576135	3.509406152483372	0.9711764618438132	0.12968596089656773	False
PANTHEON_PLUS	SLACS_PLUS_SL2S	LambdaCDM1a	LambdaCDM1d	2.6337772980466525	0.0562489323948584	0.09195752279064713	3.613561788576135	3.3860061053384882	0.9370273163843391	0.7288590737186341	False
DES_SN5YR	SLACS	LambdaCDM2a	LambdaCDM2b	2.5385543987481753	0.053404070492813815	0.0878521015162371	3.622274619356695	3.3697432212836134	0.9302837513413242	0.700817763838959	False
DES_SN5YR	SL2S	LambdaCDM2a	LambdaCDM2c	0.5128751826521523	0.008991054087320705	-0.003150780600741941	3.622274619356695	3.5512113842553106	0.9803815992521282	0.14158925993944582	False
DES_SN5YR	SLACS_PLUS_SL2S	LambdaCDM2a	LambdaCDM2d	2.6991861510203137	0.06204070267380768	0.08775746021548753	3.622274619356695	3.199040601079993	0.8831579427978691	0.7451633116375039	False
DESI_DR2_BAO	SLACS_PLUS_SL2S	LambdaCDM3a	LambdaCDM3b	2.4373910632609466	0.0569474454748653	0.0824492874108333	3.719657758100233	3.4584328566333653	0.9297717912627841	0.6552729368590654	False
