PATH	BYTE_SIZE	SHA256	ROLE	GENERATED_BY	STATUS
evidence/E002_CLASSIFICATION.txt	98	5a51eaccfe217001635e1359e1e23b26fb47b32c63ca1b06960b16db02cd6cc2	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_ENVIRONMENT.json	258	317a4a3cbf50d755c9605533da1e7eeb685c5658158504427d934f5ea9732b0e	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_FRESH_OUTPUT_COMPARISON.tsv	1963	ca8b717471683aa722e5f358f0b4d9b0f9a561c39052054e4aad63d0abba8d31	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_FRESH_STAGE_COMPARISON.tsv	6803	6c9c4ed89054547f337abc0de1363d5b2dc7057042e282f97ee0548aa8c52a2d	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_INPUT_VERIFICATION.tsv	13381	e6c3bfcfceb604455329a3bc6de098b6bc661130023ccf015eb929d64492b68e	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_SHA256SUMS.txt	33227	eba4e0eb2f7b83f30136b46cbf815e122e1df18fba5eb7d695a35eebe260efb9	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_STAGE_CLASSIFICATION_VERIFICATION.tsv	1395	abe1eb4cf457ce925e84624ab2c0edc2d8a4e64e7573472458f80b912e1d8131	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/E002_STAGE_STATUS.tsv	359	822e0528e5c2aad111f1ab3a78516a5d4b42ad1bef9f735b5cd4c0e3f8f79dd1	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/HTS67_HISTORICAL_VS_FRESH_COMPARISON.tsv	2522	29f2c9f5443557692b1283e9bf04f9013c7fca293326451ce384060a1dd54738	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/OFFICIAL_ARCHIVE_ACQUISITION.tsv	879	ec595c0cef21438c97be92e57b93e7b97a0919c0ea35a49a96198dd2a91a411b	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/OFFICIAL_HTTP_HEADERS/FIXED_RANGE_0_0_HEADERS.txt	446	10066f1e234d5dc12247b9f2e4921809a3784e5548ee2beb091f198ecd05e34c	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/OFFICIAL_HTTP_HEADERS/ORIGINAL_RANGE_0_0_HEADERS.txt	454	05e0cd64d6d55108998d3e4d9949cf083f0f0ac992c3c162c098cd6070e3e297	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/OFFICIAL_SELECTED_MEMBER_VERIFICATION.tsv	11667	eb7fadce8184cc52af05a82868360d6b23824979b72e1f2795bfd16a74069b09	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_ENVIRONMENT.json	364	bd933dfc32f72ae6c0d689659137ce506c5f66297798092cb10c2a01243f7fda	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_EVIDENCE_SHA256SUMS.txt	3637	841fe3ef174ccbc899d533fff5a12d5cf2aa7d0732d88ab188cd02f3671174cb	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_NETWORK_PREFLIGHT.tsv	966	a71fc5be70e066f3210082d7d8b5716e6c7d968f01373acc42d0bbefcd99e618	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_NETWORK_PROBE.json	1856	ea9c5c542c6de017630555bbbee42f77fde062960e302be7979e8c48e837aa4a	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_RESULT.txt	113	38b2647dc003c5d900c7f1375c598f410131a62ec19d2d8278e102a6e15390fd	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
evidence/PHASE2C_STARTING_TREE.tsv	529	1956b44daa28511709ffbfc0ad938c9490403227fa0a732b312706c03973b37c	EVIDENCE	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
logs/PHASE2C_BUNDLE_AND_CHECKPOINT_VERIFY.txt	369	e80d8b94daf7e58c714ab500c18d1ee68ed0c3cebe5b3613c8d9e69792546fc7	EXECUTION_LOG	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
logs/PHASE2C_EXIT_CODE.txt	2	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	EXECUTION_LOG	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
logs/PHASE2C_PHASE1_LOCAL_VERIFIER.txt	287	a99c537a8cd16018609652f8c0c6af505b7652d4ce41ec64472274c09baaa757	EXECUTION_LOG	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
logs/PHASE2C_RUN_STDERR.txt	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	EXECUTION_LOG	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
logs/PHASE2C_RUN_STDOUT.txt	13629	62b1a0b62ecc02a0bf9225457f6b389a9b051fa6243b49651ec51685061c5bfa	EXECUTION_LOG	RUN_PHASE2C_OFFICIAL_FETCH.sh	PRESERVED
