HISTORICAL_FILE	HISTORICAL_SHA256	CURRENT_FILE	CURRENT_SHA256	CHANGE_CLASSIFICATION	SCIENTIFIC_CODE_CHANGE
CANONICAL_STATE_THROUGH_HTS63.md	294e4557d1b83a86c2f57e75bc1b8153acc90f0ee32a0aa3e8bca9900be62386	CANONICAL_STATE_THROUGH_HTS63.md	e770910bdee18a6a21456005b7f8e4c628f9a3d1546b79d0cb7d7005e62436cf	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS63_CANONICALIZATION_AUDIT.md	d6b08b6abdfd96a15988f5b0cf9d5bcb2f6c7300c72906e028738a36fd23fbb8	HTS63_CANONICALIZATION_AUDIT.md	d6b08b6abdfd96a15988f5b0cf9d5bcb2f6c7300c72906e028738a36fd23fbb8	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS64_EXECUTION_CONTRACT.md	6156af5dded8e07461d073b59eac36308256454f1cbffb57bc45d9c756975575	HTS64_EXECUTION_CONTRACT.md	6156af5dded8e07461d073b59eac36308256454f1cbffb57bc45d9c756975575	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS64_PREFLIGHT_RESULT.md	6c78607d91e39d58330bebca9e92d7877055faa4735d8c98ca9d630a03e74859	HTS64_PREFLIGHT_RESULT.md	6c78607d91e39d58330bebca9e92d7877055faa4735d8c98ca9d630a03e74859	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS64_PREFLIGHT_TEST_AUDIT.md	bf6afa00ebb60ee5676a74974d45631703eb76a8a2639f5933d1e3ea7b8bcfba	HTS64_PREFLIGHT_TEST_AUDIT.md	bf6afa00ebb60ee5676a74974d45631703eb76a8a2639f5933d1e3ea7b8bcfba	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS64_SELECTION_AUDIT.md	f87b79a769e64be07666d91c974e5404f8929bae712ffbf7b208a0bcffbe6ee7	HTS64_SELECTION_AUDIT.md	f87b79a769e64be07666d91c974e5404f8929bae712ffbf7b208a0bcffbe6ee7	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS64_SOURCE_ADEQUACY_AUDIT.md	537db446a8441beee5c5a32a014a52247163de50f76c694ea40c75ccb2df94f1	HTS64_SOURCE_ADEQUACY_AUDIT.md	537db446a8441beee5c5a32a014a52247163de50f76c694ea40c75ccb2df94f1	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
README_RUN.md	9304c156b5bcc02dc88d5fdde4a1527df43e10ce463e8c2c06a2aead7a4d832d	README_RUN.md	761d8eef9bc72fd5b06d79e974d9bdbb2c9a2d6f2c675ea34ba595bd7fbe4a4a	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
audit_hts64.py	f8b28c88f982b89528b22e6fd4da44e0b8d8f1ca9f6973a8690d65fa46a1d50e	audit_hts64.py	71ed9828147e82507f61ef53e31647b15a78e63f68037c3c87c5e1c40b527ad3	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
hts64_common.py	877d6dce8720773dd4fa539c246924739e4bcf426421109c183bcd22bfb865f1	hts64_common.py	f0bc4a20627c4b805e7ee6ec7899a6428a83052f80e93e93989bc3fda6b48fa7	NON_SCIENTIFIC_INPUT_MATERIALIZATION_EDIT	NO
hts64_metric.py	b0b17343bb0d56436defa4038f39ef27dd792f68dd28933a6fa1cc2696273c8a	hts64_metric.py	b0b17343bb0d56436defa4038f39ef27dd792f68dd28933a6fa1cc2696273c8a	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts64.py	333330b6513745b03f243f92dd49a068e567862b104c0b94a073c9f11af2a045	run_hts64.py	333330b6513745b03f243f92dd49a068e567862b104c0b94a073c9f11af2a045	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts64.sh	9c190ee4ab4bedbcf638ff29b86191b6fe59c556bd9d5b015439e4baa1202537	run_hts64.sh	4051dccfd79b97156fbaf451fcbf63652ee77bd43d36b2f77dea977fc9e26312	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
selftest_hts64.py	5dbb600c27bbd12e14f338900d00d93db88619ec401c5f606653224ccfa19666	selftest_hts64.py	5dbb600c27bbd12e14f338900d00d93db88619ec401c5f606653224ccfa19666	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
