path	bytes	sha256	members	zip_crc	bad_member_or_error	external_sidecar_status
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_01_RESULTS_FOR_REVIEW.zip	13399	dc3e27a5625032087bf0e6c9b536ef5b5b503d0c842b04bac3e8803af1f7679f	9	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_00_全体状態・再構成/HTV00_120_CANONICALIZATION_CORR1_RESULTS_FOR_REVIEW.zip	241717	a2b54d8c46fda32187c8a5beeeab5a92605b0b352cedf199c57e154e17e9095e	42	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV02_RESULTS_FOR_REVIEW.zip	12778	69e62736e43a8977e1f4d22a75facdde4ac3f4362541aef06be79ff023b88bce	12	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV03_RESULTS_FOR_REVIEW.zip	12905	5e9f49149b4174fb80fbfaa79cc854a2f9f70f262daf7fffb3878f46e8a67a8d	12	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV04_RESULTS_FOR_REVIEW.zip	16918	8e37f88112847a1cc3532ac1fd938a70dac032454775cca4f8ed0d295350ab7a	15	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV05_RESULTS_FOR_REVIEW.zip	16722	fc75b5c5dee8001d64ca8c3f6635ccf9607b7b69a8b54ed4b2d1811beb0d2bd6	16	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV06_RESULTS_FOR_REVIEW.zip	16390	0d9a7f7a7c73610eff286eb211cd7b0d76d882102f9009e55c3b3f19b0a155eb	14	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV07_RESULTS_FOR_REVIEW.zip	15679	60cbd1b63ca427f47cc9a6bfe1f4312b745d431c846916884ef8b14b252d1f0f	15	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV08_RESULTS_FOR_REVIEW.zip	11620	6b6850a2da1aba010049874a30b247f4c77a1de0b349df0cf6571ad69a346725	13	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV09_RESULTS_FOR_REVIEW.zip	35911	3b18a3520948b8e2180a92c59e05601e03e86fa8707ff8bef1d96c051ec0a082	14	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_01_初期監査・候補選定_HTV02-10/HTV10_RESULTS_FOR_REVIEW.zip	12660	3cae9f408a44ed1b7ad118cea11dad17f66b491602b3c9a7f593066f250f3f09	12	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV11_RESULTS_FOR_REVIEW.zip	18646	f9e3e2ed26beff53a3a6b52c95beb227604506a30ca9e4f82dd9574dc1f39970	18	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV12_RESULTS_FOR_REVIEW.zip	15671	9bbf55dd7cc175e988b56e5ebcfa05d9a2a6f0fb482d2f3d13f5fb219ac64c6f	14	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV13_RESULTS_FOR_REVIEW.zip	15828	11ce842295d657ceab91f6c7dfa3e5a530f705c2a14aa878749e23f77e17e09f	14	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV14_RESULTS_FOR_REVIEW.zip	13112	6b0a2d19afcbd54302eb3194ec912dba4c1f0b692258e30abb85151e2ed4c663	15	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV15_RESULTS_FOR_REVIEW.zip	14075	c787581f056c66ec36f40bea036cea82d47aae18b38f1b00337d69fb40cebc88	14	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV16_RESULTS_FOR_REVIEW.zip	17667	e3360d31bb65119249575e6c724e5efe4bd3149cffd453b4949f20ab5c9e59c0	16	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV17_RESULTS_FOR_REVIEW.zip	22620	3aa851d9e47125ab4e250996f79f6dbbc4e78a978ced657257a93f75d98e8384	18	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_02_横断比較・依存関係_HTV11-18/HTV18_RESULTS_FOR_REVIEW.zip	14933	fa70ac780549d955550f418a38cefbbf6587c92d7b1ca42b4ba559127f60a18e	15	PASS		PASS
01_HTV_HTS_CORE_DEPENDENCY_AUDIT/01_HTV_フェーズ別/HTV_03_局所距離梯子・SN較正・BBC_HTV19-31/HTV19_RESULTS_FOR_REVIEW.zip	14864	6c0e263a9a2b77e8002272957bc1c4d0e929a04c86f67a32484d72713b872de2	14	PASS		PASS
