lambda	exponent	status	original_status	transformed_status	h0_value	h0_error	chi2	covar_condition_number	transformed_h0_value	transformed_h0_error	equivalent_representation_delta_h0	equivalent_representation_absolute_delta_h0	equivalent_representation_delta_h0_error	invariance_status
0.01	-2	OK	OK	OK	73.44528124191119	0.8106421359733815	403.97613711505124	52921.526373582514	73.445281241913	0.8106421359733957	1.8047785488306545e-12	1.8047785488306545e-12	1.4210854715202004e-14	PASS
0.001	-3	OK	OK	OK	73.44620381017961	0.808465321994575	2996.1094051922632	80566.65378351124	73.44620381018412	0.8084653219946176	4.504840944719035e-12	4.504840944719035e-12	4.263256414560601e-14	PASS
0.0001	-4	OK	OK	OK	73.44629776248502	0.8082471488327201	28905.213774781296	805422.6930191424	73.44629776248381	0.8082471488325922	-1.2079226507921703e-12	1.2079226507921703e-12	-1.2789769243681803e-13	PASS
1e-05	-5	OK	OK	OK	73.446307174979	0.8082253265743873	287995.017073882	8053983.088660376	73.44630717497043	0.80822532657605	-8.569145393266808e-12	8.569145393266808e-12	1.6626700016786344e-12	PASS
1e-06	-6	OK	OK	OK	73.4463081166579	0.8082231443231933	2878892.9257024247	80539587.03988096	73.4463081162163	0.80822314426905	-4.4160231027490227e-10	4.4160231027490227e-10	-5.4143356464919634e-11	PASS
1e-07	-7	OK	OK	OK	73.44630820841725	0.8082229259235305	28787872.02270699	805395628.8496705	73.44630821024465	0.8082229263814753	1.827402229537256e-09	1.827402229537256e-09	4.5794479319738457e-10	PASS
1e-08	-8	OK	OK	OK	73.44630819095661	0.8082229047724496	287877664.1662031	8053955993.695192	73.44630825394064	0.8082229059937873	6.298402865922981e-08	6.298402865922981e-08	1.221337697643321e-09	FAIL
1e-09	-9	OK	OK	OK	73.44630836100893	0.8082228958164706	2878775615.1492267	80539603308.24504	73.44630847261509	0.8082229302145976	1.1160615542848973e-07	1.1160615542848973e-07	3.4398127013446356e-08	FAIL
1e-10	-10	OK	OK	OK	73.44630652041086	0.8082228833947482	28787774654.229736	805398071609.5444	73.44630649144493	0.8082230942413133	-2.8965928322577383e-08	2.8965928322577383e-08	2.1084656509628985e-07	FAIL
1e-11	-11	OK	OK	OK	73.44628474239286	0.808221728486302	287878046335.33575	8054152026989.038	73.4462948101138	0.8082232892403312	1.0067720936035585e-05	1.0067720936035585e-05	1.560754029128475e-06	FAIL
1e-12	-12	OK	OK	OK	73.44628238232346	0.8082588530015329	2878705637914.1655	80482387558436.78	73.44636878410861	0.808220844432995	8.64017851540666e-05	8.64017851540666e-05	-3.800856853786172e-05	FAIL
