weighting	dependent	model	variable	coefficient	survey_cluster_SE_diagnostic	cluster_t_diagnostic	R_squared_within_diagnostic	formal_significance
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z	zHD	-0.12933311010615167	0.05241950588894988	-2.4672706831716877	0.0074291800939269015	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.11874374468054968	0.059094681218321524	-2.0093812544966356	0.016758598257875956	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	0.00872754826085318	0.028775074136753447	0.3033023727193728	0.016758598257875956	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	-0.0015638473975406082	0.0014913899629563484	-1.0485838287664409	0.016758598257875956	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	0.001427611261116642	0.0008365924167710851	1.7064597198079505	0.016758598257875956	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.06568365598608608	0.11120884226005776	-0.5906333943526476	0.016758598257875956	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z	zHD	0.0036889531241988084	0.04404733662359743	0.08374974304853951	5.7669118167513744e-06	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.009153371901795365	0.059423472082884274	-0.1540363021707681	0.11888980950500627	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	0.08929553297925885	0.03187178116022593	2.8017114114317	0.11888980950500627	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	-0.002435615793151055	0.0017056468572234414	-1.4279719056944196	0.11888980950500627	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	0.005017976368731968	0.0007739852880399406	6.483296835576313	0.11888980950500627	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.06539121310641727	0.10209424416986018	-0.640498527983831	0.11888980950500627	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z	zHD	-0.13302206323035054	0.029855437620602873	-4.455538884432685	0.055636928435677135	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.10959037277875434	0.011930585020721621	-9.185666301226004	0.5944318733604488	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	-0.08056798471840568	0.014249833727133062	-5.65395963638484	0.5944318733604488	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	0.0008717683956104478	0.00046947871809108367	1.8568858651465343	0.5944318733604488	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	-0.0035903651076153254	0.00036218219266606383	-9.913146422760999	0.5944318733604488	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.00029244287966888875	0.022079250574628097	-0.013245145195505108	0.5944318733604488	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z	zHD	-0.6651103161517504	0.14927718810301416	-4.455538884432676	0.05563692843567769	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.5479518638937692	0.05965292510360865	-9.185666301225877	0.5944318733604501	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	-0.4028399235920268	0.07124916863566456	-5.653959636384877	0.5944318733604501	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	0.004358841978052147	0.002347393590455473	1.856885865146452	0.5944318733604501	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	-0.017951825538076702	0.0018109109633304022	-9.913146422760585	0.5944318733604501	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_PHYSICAL_SN	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.001462214398334945	0.11039625287314275	-0.013245145195418794	0.5944318733604501	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z	zHD	-0.13981967285148972	0.059355779512964536	-2.3556201940023413	0.00811069184288915	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.13162899453869417	0.063999556132109	-2.05671730389791	0.017745158910972614	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	0.007566367453838954	0.029444374176373345	0.25697158338350196	0.017745158910972614	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	-0.00191265258259238	0.001103751457339669	-1.732865284003679	0.017745158910972614	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	0.0013934387188582259	0.0009619676178635152	1.4485297560774317	0.017745158910972614	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	CORRECTED_INTERCEPT	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.03354632524024334	0.0991055987821856	-0.33849071750195964	0.017745158910972614	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z	zHD	-0.0019559847667272364	0.05708010659498353	-0.03426736359492254	1.5163355238101417e-06	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.0222936516367691	0.06756329709212795	-0.32996689913415456	0.12073433092598185	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	0.09054614501668914	0.031021472126195236	2.9188216680481105	0.12073433092598185	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	-0.0025859264687644367	0.0013769373630899103	-1.878027670744223	0.12073433092598185	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	0.005065420847571947	0.0008983997304121546	5.638270667387787	0.12073433092598185	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_REMOVED_PROXY	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.029842774344815467	0.09076177618066884	-0.32880333110064913	0.12073433092598185	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z	zHD	-0.13786368808476251	0.031040176356529527	-4.441459561996396	0.05491343454465103	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.10933534290192512	0.013285536703937173	-8.229651939430008	0.6030659442622558	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	-0.08297977756285017	0.013056256869692223	-6.35555645013947	0.6030659442622558	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	0.0006732738861720566	0.0004621458433239827	1.456842890394807	0.6030659442622558	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	-0.0036719821287137205	0.0003314197192555816	-11.079552348187196	0.6030659442622558	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	BIAS_CONTRIBUTION	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.0037035508954279344	0.01700683034217524	-0.21776843896910633	0.6030659442622558	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z	zHD	-0.6893184404238085	0.15520088178264688	-4.441459561996392	0.05491343454465092	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	zHD	-0.5466767145096212	0.06642768351968655	-8.229651939429857	0.6030659442622566	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	c	-0.41489888781424905	0.0652812843484605	-6.355556450139502	0.6030659442622566	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	x1	0.0033663694308601983	0.0023107292166199647	1.4568428903947381	0.6030659442622566	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	HOST_LOGMASS	-0.018359910643568674	0.0016570985962779984	-11.079552348186635	0.6030659442622566	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
EQUAL_RELEASED_ROW	RELEASED_BIAS_MAGNITUDE	LINEAR_Z_PLUS_POPULATION_VELOCITY	vfrac	-0.0185177544771324	0.08503415171087716	-0.21776843896901835	0.6030659442622566	NOT_ASSIGNED_WITHOUT_FULL_COVARIANCE
