HISTORICAL_FILE	HISTORICAL_SHA256	CURRENT_FILE	CURRENT_SHA256	CHANGE_CLASSIFICATION	SCIENTIFIC_CODE_CHANGE
CANONICAL_STATE_THROUGH_HTS65.md	4ab98095b0eb79b4cddc65f85d282b9892950c7a42a888902769ef80b6f3f709	CANONICAL_STATE_THROUGH_HTS65.md	4ab98095b0eb79b4cddc65f85d282b9892950c7a42a888902769ef80b6f3f709	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS65_CANONICALIZATION_AUDIT.md	8549d499c9c3c28d46d218939e0ada561b6d00fbd59e9a6029427d8b9d2f0a7c	HTS65_CANONICALIZATION_AUDIT.md	91107cd2571e9126d571fefb3b7db217a9ef186d4f1eed1348b7846cd08387f2	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS66_EXECUTION_CONTRACT.md	20bfed47f62131479751d0f4e3af81ab089f2be4bb64869d9b94d7d227ebe599	HTS66_EXECUTION_CONTRACT.md	20bfed47f62131479751d0f4e3af81ab089f2be4bb64869d9b94d7d227ebe599	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS66_PREFLIGHT_RESULT.md	0acaec83d258d76554311226a315e00c3b32cc4a3a17f77d3a7374960b619db3	HTS66_PREFLIGHT_RESULT.md	0acaec83d258d76554311226a315e00c3b32cc4a3a17f77d3a7374960b619db3	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS66_PREFLIGHT_TEST_AUDIT.md	22f2f0453d05f11a40dd7b2726c51bd31c2179b02b3fff5e1de76951cc468eff	HTS66_PREFLIGHT_TEST_AUDIT.md	22f2f0453d05f11a40dd7b2726c51bd31c2179b02b3fff5e1de76951cc468eff	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS66_SELECTION_AUDIT.md	b625b994579141b59fee72161b3a86a25c929f3b504968a2623de24608bae742	HTS66_SELECTION_AUDIT.md	b625b994579141b59fee72161b3a86a25c929f3b504968a2623de24608bae742	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS66_SOURCE_ADEQUACY_AUDIT.md	5ca6d457ae406d6d9829587e4fe7a382df8c7479cbf11878beb0642a718560f0	HTS66_SOURCE_ADEQUACY_AUDIT.md	5ca6d457ae406d6d9829587e4fe7a382df8c7479cbf11878beb0642a718560f0	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
README_RUN.md	18038e1d5d85171973aaa6c6ebcd4e8752066953ca67e6d5c216ae188da7c84d	README_RUN.md	3a96311223237db50eeb9fb31af53e8a736d8f08487179c368407cfa94b68768	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
audit_hts66.py	1d4d15ceb7fa0ff937fcb0bb95d51dd85ace6755329ac396bee79f1960c99e38	audit_hts66.py	1d4d15ceb7fa0ff937fcb0bb95d51dd85ace6755329ac396bee79f1960c99e38	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
hts66_common.py	aebce39d42e9052a1cb11c25b612199e428549aa52f01377039b4dec2b4b9189	hts66_common.py	351865c38e28e629d4b71b2c56c95c77ae3c912b19e59265d70dd303f0f3ab99	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
run_hts66.py	c4f145845276db83d4cf5baa7b814f649fcd3bc2c74dc662a347dc0b882d3524	run_hts66.py	c4f145845276db83d4cf5baa7b814f649fcd3bc2c74dc662a347dc0b882d3524	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts66.sh	85b633bbaef90edd79bd26974dc2f8fc410958c8e1b375c1e89a10231b57d19c	run_hts66.sh	ef4aa800600b79808f70328575851b54678777ac2239ac4e16c4d437eef36ca1	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
selftest_hts66.py	395c995645514e67491699ccc178d9fffcc36eda5a04c1dc06ef8ed356b8aaa6	selftest_hts66.py	395c995645514e67491699ccc178d9fffcc36eda5a04c1dc06ef8ed356b8aaa6	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
