metric	value	unit_or_scope
classification	PASS_CURRENT_V2_CMB_TO_DESI_COMMON_DISPLACEMENT_AXIS_WITH_CORRELATED_COMBINATION_AND_COVARIANCE_LIMITS	
independent_audit_classification	PASS_WITH_SUBDEGREE_DIRECTIONAL_COHERENCE_AND_PUBLISHED_JOINT_DISTANCE_SCOPE	
common_axis_desi_scaled_x	0.535763581993669	DESI marginal-sigma normalized coordinate
common_axis_desi_scaled_y	-0.844368038363197	DESI marginal-sigma normalized coordinate
pca_through_origin_first_component_fraction	0.9999601122134206	fraction
physical_common_line_slope	-134.66340062819603	Mpc per unit delta Omega_m
mean_endpoint_slope	-135.5380227062614	Mpc per unit delta Omega_m
endpoint_slope_sd	2.3613913113449883	Mpc per unit delta Omega_m
endpoint_slope_min	-138.5021716163865	Mpc per unit delta Omega_m
endpoint_slope_max	-133.26939612408216	Mpc per unit delta Omega_m
endpoint_slope_range_fraction	0.0386074356687705	fraction of absolute mean
max_angle_from_common_axis_deg	0.7205595839177297	degree
max_pairwise_angle_deg	0.9944836506721519	degree
min_pairwise_cosine_similarity	0.999849370813112	
max_orthogonal_fraction	0.01257580569343049	fraction
max_common_line_residual_mpc	0.07141477821221143	Mpc
min_published_joint_distance	2.0	sigma
max_published_joint_distance	3.7	sigma
