HISTORICAL_FILE	HISTORICAL_SHA256	CURRENT_FILE	CURRENT_SHA256	CHANGE_CLASSIFICATION	SCIENTIFIC_CODE_CHANGE
CANONICAL_STATE_THROUGH_HTS59.md	ecc081ff03dc2caa4685226b09c066114f14410779855c9a9a6ca8943f3b00fc	CANONICAL_STATE_THROUGH_HTS59.md	1fbf1c852b4536787219c27e5eb19e7a9ab8782f065ff9b8e1035c8d048079b6	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS59_CANONICALIZATION_AUDIT.md	4c7c86e53fcafc6602b0a94854601da5124235121a310b18f4403921ff6c5c74	HTS59_CANONICALIZATION_AUDIT.md	4c7c86e53fcafc6602b0a94854601da5124235121a310b18f4403921ff6c5c74	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS60_EXECUTION_CONTRACT.md	339326706c8446eef6061821d72bc23714e9396680e9113cc85d3fb680576ae5	HTS60_EXECUTION_CONTRACT.md	c303270fd9bbb96a544af0e2b4891df3f7f09933f864e3c36fdc1eed46c93658	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
HTS60_PREFLIGHT_RESULT.md	557a21830fdae47c0aaa34d71b51b93da7af1bd75e0be6ac4ac86f1e54f26825	HTS60_PREFLIGHT_RESULT.md	557a21830fdae47c0aaa34d71b51b93da7af1bd75e0be6ac4ac86f1e54f26825	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS60_PREFLIGHT_TEST_AUDIT.md	1af88d56b478f5dd7acac6149d04f08bfc744378e2b3d891a15434e5c3c0b1d0	HTS60_PREFLIGHT_TEST_AUDIT.md	1af88d56b478f5dd7acac6149d04f08bfc744378e2b3d891a15434e5c3c0b1d0	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS60_SELECTION_AUDIT.md	c38e326f4fa1f4fe90a057572a57ce224422ecc82d589b96db66c4d1ef5a270d	HTS60_SELECTION_AUDIT.md	c38e326f4fa1f4fe90a057572a57ce224422ecc82d589b96db66c4d1ef5a270d	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
HTS60_SOURCE_ADEQUACY_AUDIT.md	9e6eacbc097da5ce6a1a4b11f56172a4c82c9f93dbe883c1b9f2aabe5e9483fa	HTS60_SOURCE_ADEQUACY_AUDIT.md	9e6eacbc097da5ce6a1a4b11f56172a4c82c9f93dbe883c1b9f2aabe5e9483fa	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
README_RUN.md	f03c826528fc32f376b12c8b327c2cce5a5ef3ce5d004f0b3a49b56338430dbb	README_RUN.md	4f641dfe648705c99cd1eb5e2b59dfb4ad4e87e659b357c5eadf83a794349da8	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
audit_hts60.py	2447b1734aba39c81a368662c22093e08bd46365406e6631d9411f9dfe5d2dc7	audit_hts60.py	2447b1734aba39c81a368662c22093e08bd46365406e6631d9411f9dfe5d2dc7	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
hts60_common.py	b4d753d4a3e7b2eaf42e65507ef2d11e6bb617fac3a07f89d9e7093f2f3169e0	hts60_common.py	5e616c963519cb69674c7d1206455165b62c1cf53666860413b599b34e76b340	NON_SCIENTIFIC_INPUT_MATERIALIZATION_EDIT	NO
hts60_metric.py	b93141a3697fbcf85c6e044cfb588355f7f486d2e9d4715ac673e815990ea0a2	hts60_metric.py	b93141a3697fbcf85c6e044cfb588355f7f486d2e9d4715ac673e815990ea0a2	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts60.py	ef61da4e8f01c463c0591fde410ad661115bdfcfa8f81885c423850b39435e86	run_hts60.py	ef61da4e8f01c463c0591fde410ad661115bdfcfa8f81885c423850b39435e86	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
run_hts60.sh	72be24f90f4f99eca73edda8ed07ab0a943687ad0791ef563fcdf86f4a2b0746	run_hts60.sh	e97d5eca5b3ea181b3ef8f23aaed15d8c56b010db812ef29dab87f46ea0a48f6	NON_SCIENTIFIC_PORTABILITY_EDIT	NO
selftest_hts60.py	910c5bfcbff93e340e9a12263dc8ae58242c6df404ed66d12e034de3be5a8254	selftest_hts60.py	910c5bfcbff93e340e9a12263dc8ae58242c6df404ed66d12e034de3be5a8254	BYTE_IDENTICAL_TO_HISTORICAL_SOURCE	NO
