record_id	record_type	status	statement_or_quantity	value	unit	source_record	source_version	source_artifact_path	source_artifact_sha256	scope_limit
FS-B15	branch_state	O1_FLOW_CLOSED_WITH_SCOPE; CORRELATED_PV_EXACT_REPRODUCTION_HOLD	Public baseline/covariance/flow response audited; no corrected H0			FS-B15	FIRST_MASTER_v1.0.0	FIRST_MASTER::03_BRANCH_STATUS_LEDGER.tsv	c1f450eaa6e5062690aecbc7595202ad9ad75aa20e1d622e534f0f9d4eaf7214	Source matrix/removal vector/author package or external re-entry
FS-C010	claim	ESTABLISHED_WITH_SCOPE	H0DN public baseline and frozen-representation numerical contract were reproduced			FS-C010	FIRST_MASTER_v1.0.0	FIRST_MASTER::04_CLAIM_AND_NONCLAIM_LEDGER.tsv	0a5baa497d5316e1267ec61f475cd8e296c6b746ae5c533ada17ada663d41e29	General representation invariance was not tested in 1st season
FS-C011	claim	ESTABLISHED_WITH_SCOPE	Implemented H0DN shared covariance materially prevents false precision			FS-C011	FIRST_MASTER_v1.0.0	FIRST_MASTER::04_CLAIM_AND_NONCLAIM_LEDGER.tsv	0a5baa497d5316e1267ec61f475cd8e296c6b746ae5c533ada17ada663d41e29	Ablations are not corrected likelihoods
FS-C017	nonclaim_or_prohibition	NOT_ESTABLISHED	Exact H0DN correlated-PV reproduction			FS-C017	FIRST_MASTER_v1.0.0	FIRST_MASTER::04_CLAIM_AND_NONCLAIM_LEDGER.tsv	0a5baa497d5316e1267ec61f475cd8e296c6b746ae5c533ada17ada663d41e29	Source products missing
FS-C019	nonclaim_or_prohibition	PROHIBITED_INTERPRETATION	Treating covariance ablations as alternative scientific H0 estimates			FS-C019	FIRST_MASTER_v1.0.0	FIRST_MASTER::04_CLAIM_AND_NONCLAIM_LEDGER.tsv	0a5baa497d5316e1267ec61f475cd8e296c6b746ae5c533ada17ada663d41e29	Diagnostic only
FS-N001	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN baseline H0	73.4987536436	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Frozen public contract
FS-N002	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN baseline sigma	0.8088000253	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Frozen public contract
FS-N003	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN observation covariance dimension	255	rows	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	
FS-N004	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN observation covariance rank	183	rank	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Frozen representation
FS-N005	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN normal matrix dimension/rank	64 / 64	rank	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	
FS-N006	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN pinv tolerance H0 spread	0	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Absolute tolerance 1e-14 through 1e-7
FS-N007	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN max diagnostic center movement	0.35873	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	MAS off-diagonal ablation; not alternative likelihood
FS-N008	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	H0DN all-host-offdiag sigma	0.55484	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Diagnostic rank-changing ablation
FS-N009	recorded_numeric_result	RECORDED_WITH_SOURCE_SCOPE	Pantheon V27 delta H0	-0.08752	km/s/Mpc	HTV114_CORR1	FIRST_MASTER_v1.0.0	FIRST_MASTER::05_KEY_NUMERICAL_RESULTS.tsv	ebce46fd40486be435ad9f0bcc0deea5bcee8ef3a62e8b865561fa76b7e682ae	Exact public variant
