h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	candidate_path	source_directory	git_blob_sha1	bytes	sha256	raw_SURVEY	PHOTOMETRY_VERSION	FILTERS_header	VARLIST	NOBS	observation_count	used_filter_tokens	used_filter_token_count	active_list_status	parse_status	evidence_level	direct_final_measurement_ancestry
1	342	2009cz	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2009cz.dat	SWIFT	7a69c4b6042e6514fb976755655ce8ee268e4057	3824	82d47cd581fbd02882a47e546c124321c8bcd5aa97ae059e5882cd00c7b8f58d	SWIFT	SWIFTNEW	BNUVWX	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	70	70	B;N;U;V;W;X	6	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
2	343	2009cz	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009cz.DAT	CSPDR3_anthony	82e3579efb90a04ec22ed57d6fc2500a11cb75c1	5914	6a9a67815a58d81022a165da2f9db4544414f24df5fde5c07339a8c04adc4c36	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	83	83	B;H;J;Y;g;i;j;n;r;u;y	11	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
5	347	2007qe	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	KAIT_DS15	f7eaebbaf10b58734472cb7ee43d6de827642a2d	3105	24e8622db9beb4a90f3899671ad0b27c83f8f26682f8c750fd03ff13c7d17d3d	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	49	49	E;F;G;H	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
6	348	2007qe	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	CfA3_DJ20	7ee96dadfa851019c5ebf5fe177ec8e95785438f	10027	970a60906c18fb43a52f0cd07a83516e08321674666fd2a8036525732c68325a	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	118	118	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
14	360	2007F	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	LOSS	88e94449a4396263e16e189974be615ebb3f116c	5302	412d1cd63791eba00f7c8ba16bfc9b372ae69b6cb96478f21206cc6dfe523c8d	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	100	100	A;B;C;D;E;F;G;H;I;J;K;L	12	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
15	361	2007F	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	CfA3_DJ20	2edcd06e3f0340e5915210f310c4cbdda7665d73	10746	1f65c8fae68a9dd8a4a4720bfce3762cde8d9c3056bba7066dfcc64a50257dc9	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	127	127	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
16	364	2006ac	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	KAIT_DS15	7fbc6597d2b71bc145b0dcd43fa6930cfd1649d9	2127	b229f1899d532fc34fa048af70b4038889857f11fcd11e0a10c1712d84c525f5	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	31	31	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
17	365	2006ac	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	CfA3_DJ20	b6b5d451531892e1c2d78ce9a3decf0e16823ecd	12188	fa8434c5fa64297928bccb6b0cfe5e6f3301b876970ee55d5fb8c1b3a8140e97	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	145	145	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
20	368	2009D	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	CSPDR3_anthony	8d29db799cd6582416b6c5b558897be80294a1aa	11962	4088b3006af02eb972206f18307aba32deb7481f2c767460075224e624e3ebe7	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	176	176	B;H;J;Y;g;i;j;n;r;u;y	11	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
21	369	2009D	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat	LOSS	d410c0ffcb325d7cfed7cca49989b7632c99368f	981	94b4d2a23ed1247d948fbba939d47cf6bd06f21ed7cf2ba5519af53dda1bc1ef	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	11	11	I;J;K;L;M;N;O;P	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
