source_id	official_url	commit_or_record	relative_path	expected_bytes	sha256	redistribution	retrieval_note
H0DN_REPO	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	.			NOT_INCLUDED	git clone and checkout exact commit
H0DN_SN_TABLE	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	data/sn1a_hf_pp.dat	22112	6b3dd6591cfaade2a6bf4bdb632fafc504f1449b9c07db4176a14e8e2366258f	NOT_INCLUDED	verify after checkout
H0DN_SN_COVARIANCE	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	data/sn1a_covar_pp.dat	1953968	db2b84f18bf8319b0c6d7da46d574e58dce08de913e38e911ea6e0f8aa8a8aa6	NOT_INCLUDED	verify after checkout
H0DN_CONFIG	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	h0_constrainer/configs/config.ini	10314	c8746e9777a345fbc4e73f996d9b611c557f12623a9d2aafd7456bb3676c3c0b	NOT_INCLUDED	verify after checkout
H0DN_EQUATIONS	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	h0_constrainer/h0_constrainer/equations.py	34466	1b4f8f81cd6f75cc241156ae1dbb80199cf4e58ab5752a0d5e4d2e9dff367236	NOT_INCLUDED	verify after checkout
H0DN_SOLVER	https://github.com/StefCas789/H0DN.git	cc0a4b9f36e65470d514f254a3c5cffa463fbd94	h0_constrainer/h0_constrainer/solver.py	6911	d44ac2d7d2f8b0ec8d2b33ebdc7102397010efe7135bc3ec30ba014d8ccf0136	NOT_INCLUDED	verify after checkout
PANTHEONPLUS_REPO	https://github.com/PantheonPlusSH0ES/DataRelease.git	c447f0fea703fcd0fff57de5000947b5ca81286b	.			NOT_INCLUDED	git clone and checkout exact commit
PANTHEONPLUS_TABLE	https://github.com/PantheonPlusSH0ES/DataRelease.git	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES.dat	579283	1cb0fc379ef066afdc2ffd1857681cc478024570d8a3eba284fb645775198cf8	NOT_INCLUDED	verify after checkout
PANTHEONPLUS_STAT_SYS	https://github.com/PantheonPlusSH0ES/DataRelease.git	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES_STAT+SYS.cov	33284960	abf806d966485e64afdb359c87bffc0ecc00d05eff0a31ced66f247385df0fdc	NOT_INCLUDED	verify after checkout
PANTHEONPLUS_STATONLY	https://github.com/PantheonPlusSH0ES/DataRelease.git	c447f0fea703fcd0fff57de5000947b5ca81286b	Pantheon+_Data/4_DISTANCES_AND_COVAR/Pantheon+SH0ES_STATONLY.cov	31827416	9f177129a332735d3637affd20054080d5260815f3ca0809120c05b2c902297f	NOT_INCLUDED	verify after checkout
GWTC4_POSTERIOR	https://doi.org/10.5281/zenodo.16919645	Zenodo 16919645	H0_dark_combined.json	66251	b4b5e271d94f0ac828c840a46d72bd5e9433d706a47f352abfcdd3fbc2014fc8	NOT_INCLUDED	download official record
GWTC5V1_POSTERIOR	https://doi.org/10.5281/zenodo.20378418	Zenodo 20378418	H0_dark_combined_gw170817.json	66225	00aaee9573ae940ac156c1b4af441e075a462a4c54152ac20d03511b877ce0d5	NOT_INCLUDED	download official record
TDCOSMO_REPO	https://github.com/TDCOSMO/TDCOSMO2025_public.git	d7f38db341f68be1df0d9ac1fc528c45113f94cf	13 HDF5 chains	see evidence/tdcosmo/SOURCE_MANIFEST_13_CHAINS.tsv	see evidence/tdcosmo/SOURCE_MANIFEST_13_CHAINS.tsv	NOT_INCLUDED	check per-file manifest
