claim_id	manuscript_section	claim_summary	evidence_level	reproduction_class	runner	external_inputs	acceptance	limitation	evidence_path
P-FS-001	Abstract; 1; 4	The initial broad survey provides a dependency and public-product traceability map across the examined Hubble-constant inference routes.	RECORDED_EVIDENCE	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	Structural and output-level scope only; it does not identify a single cause or validate every upstream pipeline.	publication_evidence/evidence/first_season/FIRST_SEASON_CLAIM_AND_NONCLAIM_LEDGER.tsv
P-FS-002	4 Table 1	For the released local-ladder vector, a reported fixed-effect slope was algebraically localized to the explicit BBC term plus a near-zero bias-removed proxy.	RECORDED_NUMERICAL_RESULT	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	No end-to-end truth-level validation, BBC overcorrection, or causal defect is established.	publication_evidence/evidence/first_season/local_ladder/RESULT_SUMMARY.tsv
P-FS-003	4 Table 1	The BAO-BBN bridge retains an approximately -6.8% sound-horizon budget under the fixed H0*r_d specification.	RECORDED_NUMERICAL_RESULT	BOUNDED_TRACEABILITY_REPLAY	reproduction/first_season/capsules/desi_bao_gaussian_fit + tools/replay_evidence_claims.py	DESI fixed mean/cov for capsule; otherwise fixed analysis outputs	registered BAO fit capsule and ~-6.8% budget evidence remain within declared scope	The budget is model- and definition-dependent and is not evidence for a specific early-Universe model.	publication_evidence/evidence/first_season/bao_bbn/RESULT_SUMMARY.tsv
P-FS-004	4 Table 1	Planck, SPT, and ACT shifts from DESI share a descriptive Omega_m-h-r_d response direction within the stated Gaussian approximation.	RECORDED_NUMERICAL_RESULT	BOUNDED_TRACEABILITY_REPLAY	reproduction/first_season/capsules/cmb_fixed_seed_bootstrap and/or posterior_attribution + tools/replay_evidence_claims.py	selected posterior exports for attribution; included fixed moments for CMB bootstrap	registered fixed-input/selected-export replay + analysis record	A common descriptive direction does not establish a common physical cause or joint-covariance result.	publication_evidence/evidence/first_season/cmb_desi/RESULT_SUMMARY.tsv
P-FS-005	4 Table 1	An intermediate-redshift common-isotropic DESI BAO response direction is high leverage in the released vector, with a contrasting response direction in the first luminous-red-galaxy bin.	RECORDED_NUMERICAL_RESULT	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	Multiple decompositions of one released vector are not independent observations or raw-pipeline robustness tests; historical internal labels are retained only in fixed records.	publication_evidence/evidence/first_season/desi_influence/RESULT_SUMMARY.tsv
P-FS-006	4 Table 1	The tested ACT DR6 public variants were center-stable within the correlated-source variant set examined.	RECORDED_NUMERICAL_RESULT	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	The variants are not independent measurements and do not constitute a complete component-likelihood analysis.	publication_evidence/evidence/first_season/act_robustness/RESULT_SUMMARY.tsv
P-FS-007	4; 6	Further decomposition of the same released endpoints does not provide new independent evidence by itself.	METHOD_BOUNDARY	BOUNDED_TRACEABILITY_REPLAY	reproduction/first_season/capsules/cmb_fixed_seed_bootstrap and/or posterior_attribution + tools/replay_evidence_claims.py	selected posterior exports for attribution; included fixed moments for CMB bootstrap	registered fixed-input/selected-export replay + analysis record	A distinct external product, metric, or data set can justify additional analysis.	publication_evidence/evidence/first_season/release_geometry/RESULT_SUMMARY.tsv
P-FS-008	4 Table 1; 5.6	The alternate TDCOSMO implementation recovered 13/13 structures, 39/39 quantiles within tolerance, and 12/12 published-precision rows.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/reproduce_tdcosmo_outputs.py	TDCOSMO_REPO	13/13 structures; 39/39 quantiles; 12/12 published-precision rows	This is output-level traceability, not reproduction of the original likelihood, sampler, or astrophysical model.	publication_evidence/evidence/tdcosmo/FINAL_RESULT_SUMMARY.tsv
P-FS-009	4 Table 1	The MCP-CF4 local-flow interface was mapped and single-galaxy dominance was rejected within the specified tests.	RECORDED_EVIDENCE_BOUNDARY	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	Joint-flow inference remains unresolved because required samples and covariance information are unavailable.	publication_evidence/evidence/first_season/local_flow/RESULT_SUMMARY.tsv
P-FS-010	4 Table 1	The H0DN baseline and fixed-representation solver behavior were reproduced under the public data, design, covariance, and code specification.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	fixed H0DN baseline and representation diagnostics within registered tolerance	Correlated peculiar-velocity and covariance-generation provenance remain incomplete.	publication_evidence/evidence/first_season/h0dn/RESULT_SUMMARY.tsv
P-FS-011	4 Table 1	Shared assumptions and data across non-ladder routes were mapped sufficiently to rule out naive averaging as if the analyses were independent.	METHOD_BOUNDARY	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	as named in publication_evidence/evidence/first_season/*/SOURCE_REGISTER.tsv	paper-level structural/output/bounded classification exactly recovered; no unclaimed upstream pipeline reconstruction	No combined H0 inference or cross-route independence is established.	publication_evidence/evidence/first_season/cross_route/RESULT_SUMMARY.tsv
P-SS-001	5.1	GWTC-4 and GWTC-5 v1 headline posterior quantiles reproduce the fixed-version one-decimal summaries.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/reproduce_gwtc_quantiles.py	GWTC4_POSTERIOR;GWTC5V1_POSTERIOR	six fixed Hyndman-Fan type 7 percentiles + displayed intervals; exact reproduction of the separate published 25.7% improvement is not required for this headline-output claim	The result is version-specific output reproduction, not likelihood, sampler, or event-level reconstruction.	publication_evidence/evidence/gwtc/RESULTS_MACHINE_READABLE.json
P-SS-002	5.1	GWTC-5 v1 defines a 68%-CI average-uncertainty reduction relative to GWTC-4; applying that definition to the examined public headline posterior pair gives 28.547849%, not the published 25.7%.	RECORDED_EVIDENCE_BOUNDARY	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/reproduce_gwtc_quantiles.py	GWTC4_POSTERIOR;GWTC5V1_POSTERIOR	six fixed Hyndman-Fan type 7 percentiles + displayed intervals; examined-pair diagnostic = 28.547849%	The metric definition and GWTC-4 comparison are explicit; the exact public legacy product or numerical realization yielding 25.7% was not identified.	publication_evidence/evidence/gwtc/HEADLINE_PAIR_DIAGNOSTIC_METRIC.tsv
