source_id	release	record_or_version	relative_path	official_checksum	local_sha256	role	status
GWTC4_RECORD	GWTC-4	Zenodo 16919645; DOI 10.5281/zenodo.16919645	SOURCES/GWTC4/ZENODO_RECORD_16919645.json	record_metadata	5e28f4254b0e630c81eb8d0644b9bf42fb51234046100b3422ee41237cc93937	record metadata	PASS
GWTC4_README	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/README.md	md5:bdaf447980b07139b5f08b20bfa12f5b	402a83487346b23d90545db7ddffa20fa0c2763dd972cf3805c642cc47925726	release documentation	PASS
GWTC4_MD5	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/all_md5s.txt	md5:4c1b21cdeb1249d6c19f660121d8049c	9768b3362743c6324c346c9b0465fa05b83931b6153cfa587536912cf0ac88d0	official checksum list	PASS
GWTC4_PATHS	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/results_paths.json	md5:a71847eb5569dcce4db613a2dac2a74f	8a4bf8bf8b63f08ca9fa22077b41c2500b4bf95ffb5088c6b23a1d8f8798e7a8	headline file mapping	PASS
GWTC4_NOTEBOOK	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/read_and_prod_results.ipynb	md5:c9b36564d8b0e404a2d821ff328cff56	ce62b4ac6a621619490d44d814763a9c99d5625bcb9ba71ced96a53f468bccfb	posterior construction description	PASS
GWTC4_HEADLINE_POSTERIOR	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/H0_dark_combined.json	md5:00c057f15e215d909ad1b7a6760a7af2	b4b5e271d94f0ac828c840a46d72bd5e9433d706a47f352abfcdd3fbc2014fc8	frozen headline posterior	PASS
GWTC4_BRIGHT_POSTERIOR	GWTC-4	Zenodo 16919645	SOURCES/GWTC4/H0_posterior.json	md5:c26930c30e69ea59616f51db89a256b2	8d7a9fb243357c0da6d4a3d2cfe364bd56ef4d86b7fce8fad79110d49a85bcc6	bright posterior support	PASS
GWTC4_PAPER	GWTC-4	arXiv 2509.04348v2	SOURCES/PAPERS/GWTC4_arXiv_2509.04348v2.pdf	arXiv version	e54c8b5de4ef97a483039453d937c9397d54e90d0d5b5b33561d1b4d3952059f	headline and interval description	PASS
GWTC5_RECORD	GWTC-5	Zenodo 20378418; DOI 10.5281/zenodo.20378418	SOURCES/GWTC5/ZENODO_RECORD_20378418.json	record_metadata	9606959eb2998e4a6d60630e143dd5d170a841c15cbb4c34cd7434c06617bb36	record metadata	PASS
GWTC5_README	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/README.md	md5:981647acc2cea79119d996c5112f67c7	9ae13ed5acefc5618825030ea06906ae1a5d4939d25b7ca0388a502127fbffdd	release documentation	PASS
GWTC5_MD5	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/md5sums.txt	md5:52a8ad46f5e4aa9a4855b8b699d0b3ea	96250faf4976bc20c73d4c100eb86eb91f0d384fc30aa8c4154ea555f7ac40c3	official checksum list	PASS
GWTC5_PATHS	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/result_path.py	md5:79760b6337333b8afbc81e9be1ae4721	9d5cfe33af46ff595bb005297e32aa8fce02a1062ffdf7a0ba8e14f03bab3c54	headline file mapping and loader	PASS
GWTC5_FIGURE_NOTEBOOK	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/figure_maker_O4b.ipynb	md5:71755552fb2777059d4223874663405e	ff1a993a8cc0ca5b6df6249989fe2245f76dba611e685b5f65122cba79c942ed	interval, average uncertainty, 25.7 code path	PASS
GWTC5_SUMMARY_NOTEBOOK	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/H0_retrieve_data.ipynb	md5:5838eefcaf8faaa2d5f725e6e879b0ab	52578f2c0264d162256f753133efd9ea8b680d76f87f55df52dcace7a871b069	gw_dark_O4a provenance description	PASS_WITH_MISSING_REFERENCED_REGISTRY
GWTC5_SUMMARY_JSON	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/H0_summarydata.json	md5:a359b7e55f836d6087e00306fc66f7f3	9b32faad0ef66c9698b5295ddd37a0bf40ddd64239673e4de8eb19edf7dab616	old and new summary inputs	PASS
GWTC5_HEADLINE_POSTERIOR	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/H0_dark_combined_gw170817.json	md5:532f9c59374dede625e08987985e4df5	00aaee9573ae940ac156c1b4af441e075a462a4c54152ac20d03511b877ce0d5	frozen headline posterior	PASS
GWTC5_BRIGHT_POSTERIOR	GWTC-5	Zenodo 20378418	SOURCES/GWTC5/GW170817_H0_posterior.json	md5:bc9cd6465226a828dd8f56376279cc02	c07815f677dd66972f534fc3cf6069cd6996672e5a872263bcb25c6ed1f4ce87	bright posterior support	PASS
GWTC5_PAPER	GWTC-5	arXiv 2605.27227v1	SOURCES/PAPERS/GWTC5_arXiv_2605.27227v1.pdf	arXiv version	5336568ab03519387ebcd516d7f5be258762c389b8cf36b4ecebfa72a3178fe6	headline, interval and reported 25.7	PASS
HTV107_PRIOR	internal	project frozen input	INTERNAL_PRIOR/HTV107_RESULTS_FOR_REVIEW.zip	sha256:96e7feb24eed84e72619cc8f19c0bbb697e5f893b73908916fd3099155795b4f	96e7feb24eed84e72619cc8f19c0bbb697e5f893b73908916fd3099155795b4f	prior audit and reopening condition	PASS
MISSING_O4A_SR9_REGISTRY	GWTC-4 via GWTC-5 summary notebook	not present in official records	O4a_cosmology_results_paths_SR9.json	unknown	unknown	required to bind gw_dark_O4a summary to exact source bytes	MISSING_BLOCKING_METRIC_PAIR_PROVENANCE
