h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	main_lineage_status	cid_only_candidate_count	cid_only_candidate_paths	cid_only_candidate_directories	cid_only_candidate_SURVEY_headers	candidate_paths_used_by_other_main_rows	cid_only_classification
5	347	2007qe	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007qe.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007qe.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
14	360	2007F	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2007F.dat	CfA3_DJ20;LOSS	PS1_LOWZ_COMBINED(CFA3K);KAIT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007F.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
16	364	2006ac	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006ac.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006ac.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
21	369	2009D	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	CSPDR3_anthony;LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;KAIT;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
22	370	2009D	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2009D.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	CSPDR3_anthony;LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;KAIT;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009D.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
31	384	2007cq	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat;Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	CfA3_DJ20;KAIT_DS15;SWIFT	PS1_LOWZ_COMBINED(CFA3K);KAITM;SWIFT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT;Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
40	402	2005M	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	CSPDR3_anthony;CfA3_DJ20;KAIT_DS15	CSP;PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
46	411	1999gp	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	KAIT_DS15;PS1_LOWZ_COMBINED_TEXT_DS17	KAITM;PS1_LOWZ_COMBINED(CFA2)	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
50	417	2007co	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat;Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	CfA3_DJ20;KAIT_DS15;SWIFT	PS1_LOWZ_COMBINED(CFA3K);KAITM;SWIFT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT;Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
56	425	2005na	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	CSPDR3_anthony;CfA3_DJ20;KAIT_DS15	CSP;PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
